Sample_ID,aligned_reads,aligned_0_times,aligned_exactly_once,aligned_more_than_once,overall_alignment_rate
ucin037,332436,83641,210205,38590,0.7484000000000001
ucin381,393431,28418,311942,53071,0.9278
ucin002,623086,22737,519603,80746,0.9634999999999999
ucin131z,270491,2660,229359,38472,0.9902
ucin028,635481,17961,540429,77091,0.9717
ucin414,414058,236294,147584,30180,0.4293
ucin313,864063,37109,714384,112570,0.9571
ucin426,385009,126827,213698,44484,0.6706
ucin094,424762,17555,348093,59114,0.9587
ucin148,937467,11414,797430,128623,0.9878
ucin424,1044288,536862,431623,75803,0.48590000000000005
ucin035,761354,71065,593837,96452,0.9067000000000001
ucin336,285385,12975,232872,39538,0.9545
ucin300,549986,15227,464753,70006,0.9723
ucin074,680676,183063,424385,73228,0.7311
ucin100,985900,26349,828113,131438,0.9732999999999999
ucin384REz,16066,1584,10920,3562,0.9014
ucin333,34560,1932,26330,6298,0.9440999999999999
ucin166z,198541,6022,162572,29947,0.9697
ucin419conc,1349174,542229,699751,107194,0.5981000000000001
ucin033,967242,18232,822220,126790,0.9812000000000001
ucin251,817020,13589,691238,112193,0.9834
ucin344,979609,32570,816385,130654,0.9668000000000001
ucin382,130719,2609,105588,22522,0.98
ucin093,595710,28873,487820,79017,0.9515
ucin214z,289083,13923,233315,41845,0.9518000000000001
ucin309,476417,9524,398992,67901,0.98
ucin017,873459,26747,731595,115117,0.9693999999999999
ucin206,966758,11201,824091,131466,0.9884000000000001
ucin420,663013,332863,280836,49314,0.498
ucin102,747433,20709,624661,102063,0.9723
ucin260reconc,688958,12251,580548,96159,0.9822
ucin146,893006,22457,751866,118683,0.9749
ucin302,272640,7140,220843,44657,0.9738
ucin032,690588,14739,589572,86277,0.9787
ucin322,256376,23219,194299,38858,0.9094
ucin342re,19209,696,14516,3997,0.9638
ucin328,693670,10739,596858,86073,0.9845
ucin133,274065,3926,224879,45260,0.9856999999999999
ucin246z,403187,13684,330921,58582,0.9661
ucin327re,611546,7024,527288,77234,0.9884999999999999
ucin321,1074452,31950,887148,155354,0.9703
ucin275,791799,33910,656765,101124,0.9571999999999999
ucin016,989593,280013,604866,104714,0.7170000000000001
ucin124,60161,970,47161,12030,0.9839
ucin101,481924,17442,397031,67451,0.9638
ucin020,672846,14034,576727,82085,0.9791
ucin046z,482030,7617,400641,73772,0.9842
ucin004conc,1474390,761130,608518,104742,0.4838
ucin252z,384957,18996,306126,59835,0.9506999999999999
ucin011REz,909732,389873,447205,72654,0.5714
ucin335z,950602,22553,791447,136602,0.9763
ucin003,538144,9154,455349,73641,0.983
ucin059,824730,21280,692880,110570,0.9742000000000001
ucin436,1055103,41707,880795,132601,0.9605
ucin157conc,417293,26646,340961,49686,0.9361
ucin153conc,280869,39818,200501,40550,0.8582
ucin053conc,823713,19855,680199,123659,0.9759
ucin047conc,730189,55025,578335,96829,0.9246
ucin168,398515,16079,330437,51999,0.9597
ucin060z,523973,7996,438297,77680,0.9847
ucin141,657691,37263,534827,85601,0.9433
ucin103,450238,66767,326479,56992,0.8517
ucin406RE,1388341,33340,1166949,188052,0.976
ucin242,202649,7934,162741,31974,0.9608
ucin120conc,479585,68298,351268,60019,0.8576
ucin270,463981,27250,366228,70503,0.9412999999999999
ucin340,74513,1427,59418,13668,0.9808
ucin423z,375037,9559,300928,64550,0.9745
ucin021,1111241,34488,946237,130516,0.9690000000000001
ucin091,594425,17711,495580,81134,0.9702
ucin118conc,806651,28631,671404,106616,0.9645
ucin023,802572,40283,670412,91877,0.9498000000000001
ucin337,518225,27931,424306,65988,0.9460999999999999
ucin208,391689,4715,332006,54968,0.988
ucin163z,673776,575988,81579,16209,0.1451
ucin169z,196615,12546,153690,30379,0.9362
ucin380conc,650502,12737,548441,89324,0.9804
ucin215,185311,3154,151983,30174,0.983
ucin024replicate,639699,13291,543880,82528,0.9792000000000001
ucin345re,776209,12164,660038,104007,0.9843000000000001
ucin221,241713,4475,196835,40403,0.9815
ucin117conc,445226,16491,371224,57511,0.963
ucin130z,801099,160939,542566,97594,0.7990999999999999
ucin359,501613,10342,411738,79533,0.9793999999999999
ucin170conc,518501,16626,422654,79221,0.9679000000000001
ucin277z,307713,112588,162555,32570,0.6341
ucin413replicate,2494078,1413564,932969,147545,0.43320000000000003
ucin261,510683,38704,409988,61991,0.9242
ucin365,482406,19487,399269,63650,0.9595999999999999
ucin383,1314857,208095,944199,162563,0.8417
ucin090,487050,6494,417334,63222,0.9867
ucin134z,235519,4392,198341,32786,0.9814
ucin237,940794,46000,768693,126101,0.9511
ucin362z,68654,53585,11618,3451,0.2195
ucin347conc,736497,11880,608385,116232,0.9839
ucin429,56414,2579,43485,10350,0.9543
ucin358conc,221427,9637,171115,40675,0.9565
ucin385,506364,59700,376457,70207,0.8820999999999999
ucin416,1387386,776853,524017,86516,0.4401
ucin135,55761,3971,41501,10289,0.9288
ucin204conc,37348,857,28150,8341,0.9771
ucin210RE,877641,63529,703053,111059,0.9276000000000001
ucin031,581686,14251,494051,73384,0.9754999999999999
ucin050,1551824,1528282,18827,4715,0.0152
ucin123z,798443,18294,668323,111826,0.9771
ucin164re,134013,7261,104712,22040,0.9458
ucin119re,650451,15063,547556,87832,0.9768000000000001
ucin219,213132,7392,174266,31474,0.9653
ucin276z,298846,3928,242252,52666,0.9869
ucin432z,462736,18421,374817,69498,0.9601999999999999
ucin323,361736,11225,294595,55916,0.9690000000000001
ucin324z,1014407,19327,855465,139615,0.9809
ucin331,158058,86727,58272,13059,0.45130000000000003
ucin244,471949,6042,403829,62078,0.9872
ucin305,345882,43109,260328,42445,0.8754000000000001
ucin418z,11599,2937,6120,2542,0.7468
ucin036conc,523693,195627,277614,50452,0.6264
ucin269,941506,21736,787318,132452,0.9769
ucin110,627384,10277,535443,81664,0.9836
ucin316,830202,49342,668463,112397,0.9406
ucin308,193034,8963,156681,27390,0.9536
ucin312,48873,700,39388,8785,0.9856999999999999
ucin349conc,99372,1075,80373,17924,0.9892
ucin235z,578231,22009,473528,82694,0.9619
ucin057z,635004,15415,534906,84683,0.9756999999999999
ucin264,345005,16930,276045,52030,0.9509000000000001
ucin386,843760,13284,708545,121931,0.9843000000000001
ucin364conc,666030,31044,543866,91120,0.9534
ucin054,612814,17442,505468,89904,0.9715
ucin427RE,743602,166604,493535,83463,0.7759999999999999
ucin143,208023,20177,157893,29953,0.903
ucin355,2036390,1536804,425540,74046,0.24530000000000002
ucin240,1032498,49286,841400,141812,0.9523
ucin081,474784,31603,376862,66319,0.9334
ucin259,766310,44080,627301,94929,0.9425
ucin006conc,1314347,304545,875056,134746,0.7683
ucin229,400818,7577,341233,52008,0.9811
ucin167conc,501338,11399,421937,68002,0.9773000000000001
ucin049z,656297,14291,544496,97510,0.9782
ucin077z,526875,71721,384973,70181,0.8639
ucin030,642346,37158,526045,79143,0.9422
ucin314z,477439,10448,397219,69772,0.9781
ucin319z,147404,19659,104146,23599,0.8665999999999999
ucin311,59457,1308,47316,10833,0.978
ucin245,614437,28293,505812,80332,0.9540000000000001
ucin008,1438207,292998,987106,158103,0.7963
ucin224,8521,882,5696,1943,0.8965000000000001
ucin434,496031,56732,374163,65136,0.8856
ucin105,842970,17914,711992,113064,0.9787
ucin238,349583,6829,293231,49523,0.9804999999999999
ucin138,444463,11962,373937,58564,0.9731000000000001
ucin041,521330,153115,311701,56514,0.7062999999999999
ucin179REz,222152,81836,111568,28748,0.6315999999999999
ucin089,588015,27371,486713,73931,0.9534999999999999
ucin230,802017,72543,630708,98766,0.9095
ucin132,302851,4079,255095,43677,0.9865
ucin125,536460,91443,382268,62749,0.8295
ucin001,604412,6925,516779,80708,0.9884999999999999
ucin433,656800,13212,551231,92357,0.9799
ucin320z,659980,23065,547704,89211,0.9651000000000001
ucin048z,405427,16804,335571,53052,0.9586
ucin307,422369,34926,335355,52088,0.9173
ucin268,833025,16921,702304,113800,0.9797
ucin257,1133123,266908,762108,104107,0.7644
ucin265conc,614665,91506,445986,77173,0.8511
ucin412,732574,187345,464214,81015,0.7443000000000001
ucin351re,1236127,47127,1019121,169879,0.9619
ucin273,727222,11509,607345,108368,0.9842
ucin096,1176654,19922,998114,158618,0.9831
ucin262reconc,868282,14312,732391,121579,0.9834999999999999
ucin241,662953,9855,555208,97890,0.9851000000000001
ucin437,470430,7454,396837,66139,0.9842
ucin039conc,1362952,461967,771412,129573,0.6611
ucin113,901363,30399,756612,114352,0.9662999999999999
ucin401,1197911,27968,998068,171875,0.9767
ucin043,564626,77581,412146,74899,0.8626
ucin329,843404,9402,731496,102506,0.9889
ucin421z,592709,291646,246266,54797,0.5079
ucin310conc,331622,6924,273473,51225,0.9791
ucin139,382345,13044,322683,46618,0.9659
ucin159conc,604686,12142,511154,81390,0.9799
ucin044conc,1144854,368466,659290,117098,0.6781999999999999
ucin239,1023434,64865,827887,130682,0.9366
ucin435,923569,75938,733906,113725,0.9178000000000001
ucin223,56673,1379,44004,11290,0.9756999999999999
ucin029,457376,10087,390203,57086,0.9779000000000001
ucin325re,38414,577,30120,7717,0.985
ucin253,559450,333461,188036,37953,0.4039
ucin278z,406553,12911,333212,60430,0.9682
ucin216,73970,1940,58873,13157,0.9738
ucin222,275184,3879,224644,46661,0.9859
ucin075,449423,11074,374400,63949,0.9754
ucin236,548187,6064,467123,75000,0.9889
ucin341conc,322579,5710,265485,51384,0.9823000000000001
ucin026,919950,15271,786815,117864,0.9834
ucin129z,648525,69328,502885,76312,0.8931
ucin263,367267,32432,285835,49000,0.9117000000000001
ucin083,613469,218900,335333,59236,0.6431999999999999
ucin005,1369235,345066,883952,140217,0.748
