	Sample_ID_a	Sample_ID_b	missing_percent_a	missing_percent_b	rab	to_exclude
230	ucin024	ucin024replicate	0.08144643460628591	0.03717472118959108	0.928384	ucin024
2141	ucin076z	ucin080z	0.15410611693139575	0.23386279148360933	0.572309	ucin080z
7731	ucin130z	ucin151	0.09496451503886448	0.06860425819533626	0.471832	ucin130z
8644	ucin159conc	ucin161conc	0.1791145657316661	0.13315309226089894	0.474242	ucin159conc
8773	ucin156re	ucin162conc	0.1250422440013518	0.06421088205474823	0.484812	ucin156re
13529	ucin231	ucin232	0.024332544778641434	0.008110848259547145	0.550774	ucin231
14364	ucin236	ucin236replicate	0.015883744508279823	0.011490368367691788	0.919229	ucin236
21320	ucin279conc	ucin279concreplicate	0.1422777965528895	0.005069280162216965	0.957414	ucin279conc
25649	ucin321	ucin324z	0.026022304832713755	0.013856032443393038	0.546062	ucin321
26091	ucin307	ucin327re	0.15275430888813787	0.14836093274754986	0.558888	ucin307
35777	ucin404	ucin405	0.006083136194660358	0.006421088205474822	0.580367	ucin405
36580	ucin402	ucin408re	0.42311591753970934	0.006083136194660358	0.895019	ucin402
37674	ucin413	ucin413replicate	0.04629942548158161	0.008786752281176074	0.924498	ucin413
43070	ucin436	ucin437	0.06319702602230483	0.05035484961135519	0.586849	ucin436
