Sample_ID,deduped_count
ucin362z,68654
ucin126,657784
ucin150z,324631
ucin417z,137335
ucin164re,134013
ucin212RE,938589
ucin358conc,221428
ucin003,538144
ucin099,638269
ucin039conc,1362952
ucin246z,403187
ucin163z,673776
ucin110,627384
ucin041,521330
ucin321,1074453
ucin002,623086
ucin105,842971
ucin324z,1014407
ucin055,208914
ucin146,893006
ucin007,1333476
ucin166z,198541
ucin262reconc,868282
ucin402,705183
ucin436,1055104
ucin273,727222
ucin213conc,91314
ucin379,1029049
ucin243,747025
ucin308,193035
ucin141,657691
ucin167conc,501338
ucin325re,38414
ucin046z,482030
ucin089,588018
ucin227conc,732812
ucin244,471950
ucin303,223986
ucin318,487791
ucin383,1314858
ucin271REz,205982
ucin304,46729
ucin137,859133
ucin364conc,666035
ucin074,680678
ucin413replicate,2494078
ucin345re,776209
ucin032,690588
ucin320z,659982
ucin140,565910
ucin034,978413
ucin094,424762
ucin009z,1053867
ucin065,935648
ucin305,345884
ucin120conc,479585
ucin063RE,804489
ucin050,1551825
ucin300,549986
ucin419conc,1349174
ucin153conc,280869
ucin430z,802518
ucin057z,635004
ucin061z,566112
ucin162conc,532115
ucin311,59457
ucin228z,889674
ucin130z,801099
ucin278z,406553
ucin235z,578231
ucin302,272640
ucin413,1157517
ucin215,185311
ucin125,536460
ucin234,787251
ucin253,559450
ucin035,761355
ucin053conc,823713
ucin079z,921929
ucin030,642346
ucin326conc,617203
ucin263,367267
ucin359,501613
ucin351re,1236127
ucin429,56414
ucin231,747915
ucin113,901363
ucin269,941506
ucin319z,147404
ucin004conc,1474391
ucin386,843760
ucin210RE,877645
ucin237,940794
ucin165conc,53416
ucin347conc,736497
ucin337,518225
ucin148,937467
ucin147z,352810
ucin314z,477439
ucin334re,702593
ucin157conc,417296
ucin279conc,442736
ucin018z,667122
ucin093,595710
ucin049z,656297
ucin365,482406
ucin103,450238
ucin102,747433
ucin381,393433
ucin211RE,1421443
ucin310conc,331622
ucin232,762800
ucin242,202649
ucin024replicate,639700
ucin279concreplicate,1125148
ucin028,635484
ucin414,414058
ucin083,613470
ucin266reconc,963040
ucin052z,599017
ucin220,187753
ucin203conc,28996
ucin048z,405427
ucin104,881288
ucin033,967243
ucin277z,307713
ucin268,833025
ucin276z,298846
ucin129z,648525
ucin307,422369
ucin204conc,37348
ucin239,1023434
ucin012RE,1792156
ucin154re,69530
ucin259,766310
ucin382,130719
ucin081,474789
ucin435,923570
ucin357z,62595
ucin225,739390
ucin270,463981
ucin058z,669598
ucin257,1133125
ucin178,216819
ucin221,241713
ucin355,2036390
ucin016,989596
ucin205,1049330
ucin156re,947061
ucin229,400819
ucin023,802573
ucin217,887602
ucin222,275184
ucin031,581686
ucin404,1126155
ucin415,73655
ucin106,860323
ucin400,862261
ucin331,158058
